Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,Year,Journal,Database,DOI
0,C=CC1=CC=CC=C1,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.556302501,2007,Dissertation,citeseer,10.6100/IR627570
1,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.556302501,2007,Dissertation,citeseer,10.6100/IR627570
2,C=CC1=CC=CC=C1,Rh,COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P->%16(C2=CC=CC=C2)C2=CC=CC=C2)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1,313.15,20,1,16,2,1300,0.46,-0.380211242,2007,Dissertation,citeseer,10.6100/IR627570
3,C=CC1=CC=CC=C1,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.857332496,2007,Dissertation,citeseer,10.6100/IR627570
4,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-1.06069784,2007,Dissertation,citeseer,10.6100/IR627570
5,C=CC1=CC=CC=C1,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.62324929,2007,Dissertation,citeseer,10.6100/IR627570
6,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.662757832,2007,Dissertation,citeseer,10.6100/IR627570
7,C=COC(C)=O,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.505149978,2007,Dissertation,citeseer,10.6100/IR627570
8,C=COC(C)=O,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.556302501,2007,Dissertation,citeseer,10.6100/IR627570
9,C=COC(C)=O,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-1.698970004,2007,Dissertation,citeseer,10.6100/IR627570
