Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,Year,Journal,Database,DOI,bins
0,C=CC1=CC=CC=C1,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20.0,1.0,16.0,2.0,1300.0,0.46,-0.556302501,2007,Dissertation,citeseer,10.6100/IR627570,42
3,C=CC1=CC=CC=C1,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20.0,1.0,16.0,2.0,1300.0,0.46,-0.857332496,2007,Dissertation,citeseer,10.6100/IR627570,31
4,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20.0,1.0,16.0,2.0,1300.0,0.46,-1.06069784,2007,Dissertation,citeseer,10.6100/IR627570,23
6,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,CC1=CC=CC=C1,333.15,20.0,1.0,16.0,2.0,1300.0,0.46,-0.662757832,2007,Dissertation,citeseer,10.6100/IR627570,39
8,C=COC(C)=O,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20.0,1.0,21.0,2.0,1400.0,0.54,-0.556302501,2007,Dissertation,citeseer,10.6100/IR627570,42
9,C=COC(C)=O,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20.0,1.0,21.0,2.0,1400.0,0.54,-1.698970004,2007,Dissertation,citeseer,10.6100/IR627570,4
11,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,313.15,20.0,1.0,21.0,2.0,1400.0,0.54,-1.301029996,2007,Dissertation,citeseer,10.6100/IR627570,13
13,C=COC(C)=O,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,C1=CC=CC=C1,333.15,20.0,1.0,21.0,2.0,1400.0,0.54,-0.380211242,2007,Dissertation,citeseer,10.6100/IR627570,46
14,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20.0,1.0,25.0,2.0,1213.0,2.042857143,-1.322219295,2007,Dissertation,citeseer,10.6100/IR627570,13
16,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10.0,1.0,25.0,2.0,1213.0,2.042857143,-1.255272505,2007,Dissertation,citeseer,10.6100/IR627570,16
